time_ms,bid,ask,bid_vol,ask_vol
1774977018321,46.27135,46.27845,956016770,956016770
1774977018623,46.27165,46.27865,956016770,956016770
1774977018774,46.27095,46.27795,956016770,956016770
1774977018875,46.27185,46.27885,956016770,956016770
1774977020957,46.27255,46.27955,956016770,956016770
1774977021059,46.27435,46.28135,956016770,956016770
1774977021161,46.27455,46.28155,956016770,956016770
1774977021765,46.27365,46.28065,956016770,956016770
1774977021866,46.27395,46.28095,956016770,956016770
1774977021967,46.27355,46.28052,956016770,956016770
1774977023575,46.27355,46.28065,956016770,956016770
1774977025332,46.27385,46.28085,956016770,956016770
1774977025441,46.27475,46.28185,956016770,956016770
1774977025703,46.27455,46.28155,956016770,956016770
1774977027310,46.27495,46.28195,951893602,956016770
1774977027411,46.27335,46.28035,956016770,956016770
1774977027887,46.27075,46.27775,956016770,956016770
1774977028492,46.27045,46.27745,956016770,956016770
1774977028643,46.27005,46.27705,956016770,956016770
1774977028745,46.26975,46.27675,956016770,956016770
1774977028846,46.27015,46.27715,956016770,956016770
1774977030404,46.27065,46.27775,956016770,956016770
1774977030455,46.27095,46.27795,956016770,956016770
1774977030556,46.27065,46.27765,956016770,956016770
1774977031663,46.27035,46.27745,956016770,956016770
1774977031714,46.26985,46.27685,956016770,956016770
1774977032968,46.26945,46.27645,956016770,956016770
1774977033070,46.26975,46.27675,956016770,956016770
1774977034025,46.27025,46.27735,956016770,956016770
1774977034076,46.27075,46.27775,956016770,956016770
1774977034177,46.26985,46.27685,956016770,956016770
1774977034979,46.27025,46.27725,956016770,956016770
1774977035081,46.27075,46.27775,956016770,956016770
1774977035232,46.27125,46.27825,956016770,956016770
1774977035333,46.27145,46.27845,956016770,956016770
1774977035434,46.27185,46.27885,956016770,956016770
1774977035736,46.27225,46.27925,956016770,956016770
1774977037445,46.27175,46.27875,956016770,956016770
1774977037546,46.27155,46.27855,956016770,956016770
1774977037698,46.27185,46.27885,956016770,956016770
1774977037799,46.27315,46.28015,956016770,956016770
1774977039759,46.27275,46.27975,956016770,956016770
1774977039860,46.27255,46.27955,956016770,956016770
1774977040715,46.27205,46.27905,956016770,956016770
1774977040816,46.27115,46.27815,956016770,956016770
1774977040917,46.27165,46.27865,956016770,956016770
1774977041018,46.27085,46.27795,956016770,956016770
1774977041119,46.27115,46.27825,956016770,956016770
1774977041220,46.27155,46.27855,956016770,956016770
1774977042024,46.27185,46.27885,956016770,956016770
1774977042477,46.27145,46.27845,956016770,956016770
1774977042528,46.27165,46.27875,956016770,956016770
1774977042579,46.27215,46.27915,956016770,956016770
1774977042680,46.27255,46.27952,951893602,956016770
1774977043132,46.27275,46.27975,956016770,956016770
1774977043233,46.27235,46.27935,956016770,956016770
1774977043535,46.27085,46.27785,956016770,956016770
1774977043637,46.27055,46.27755,956016770,956016770
1774977043888,46.26785,46.27485,956016770,956016770
1774977044015,46.26715,46.27415,956016770,956016770
1774977044117,46.26735,46.27435,956016770,956016770
1774977044621,46.26625,46.27335,956016770,956016770
1774977044722,46.26635,46.27345,956016770,956016770
1774977044824,46.26615,46.27315,956016770,956016770
1774977044925,46.26645,46.27352,956016770,956016770
1774977044976,46.26725,46.27425,956016770,956016770
1774977045078,46.26715,46.27415,956016770,956016770
1774977045330,46.26685,46.27385,956016770,956016770
1774977046388,46.26715,46.27415,956016770,956016770
1774977046890,46.26645,46.27355,956016770,956016770
1774977046941,46.26595,46.27295,956016770,956016770
1774977047042,46.26425,46.27135,956016770,956016770
1774977047093,46.26385,46.27085,956016770,956016770
1774977047143,46.26335,46.27045,956016770,956016770
1774977047546,46.26315,46.27015,956016770,956016770
1774977047647,46.26725,46.27425,956016770,956016770
1774977047748,46.26675,46.27375,956016770,956016770
1774977047899,46.26595,46.27295,956016770,956016770
1774977048000,46.26485,46.27185,956016770,956016770
1774977048654,46.26565,46.27265,956016770,956016770
1774977049859,46.26605,46.27305,956016770,956016770
1774977049960,46.26685,46.27385,956016770,956016770
1774977050312,46.26715,46.27415,956016770,956016770
1774977050413,46.26755,46.27455,956016770,956016770
1774977050564,46.26725,46.27435,956016770,956016770
1774977051281,46.26755,46.27455,956016770,956016770
1774977051332,46.26725,46.27435,956016770,956016770
1774977052237,46.26665,46.27365,956016770,956016770
1774977052338,46.26605,46.27305,956016770,956016770
1774977054549,46.26445,46.27155,956016770,956016770
1774977054600,46.26465,46.27175,956016770,956016770
1774977054803,46.26445,46.27145,956016770,956016770
1774977054904,46.26395,46.27085,956016770,956016770
1774977054955,46.26435,46.27135,956016770,956016770
1774977055005,46.26505,46.27195,956016770,956016770
1774977055509,46.26485,46.27175,956016770,956016770
1774977055660,46.26505,46.27205,956016770,956016770
1774977055711,46.26565,46.27255,956016770,956016770
1774977056063,46.26685,46.27375,956016770,956016770
1774977056115,46.26655,46.27355,956016770,956016770
1774977056165,46.26635,46.27325,956016770,956016770
1774977056720,46.26615,46.27305,956016770,956016770
1774977057338,46.26585,46.27285,956016770,956016770
1774977058952,46.26555,46.27245,956016770,956016770
1774977059003,46.26505,46.27205,956016770,956016770
1774977059054,46.26155,46.26855,956016770,956016770
1774977059155,46.26285,46.26975,956016770,956016770
1774977059206,46.26145,46.26845,956016770,956016770
1774977059408,46.26275,46.26965,956016770,956016770
1774977059458,46.26145,46.26845,956016770,956016770
1774977059509,46.26175,46.26865,956016770,951893602
1774977059560,46.26455,46.27155,956016770,956016770
